2026-09-02 16:53:34 | DEBUG    | rl_lib.training.callbacks.checkpoints_save | CheckpointsSaveCallback created with intervals=200
2026-09-02 17:04:08 | DEBUG    | rl_lib.tracking.console_logger | Step 22527: {'rollout/returns': '-1.580363', 'rollout/advantages_mean': '-0.958837', 'rollout/advantages_std': '1.812996', 'rollout/critic_values': '-0.621525', 'rollout/old_log_probs': '-0.085497', 'rollout/action_mean_0': '0.076505', 'rollout/action_mean_1': '0.600057', 'rollout/action_mean_2': '0.393878', 'rollout/action_std_0': '0.477719', 'rollout/action_std_1': '0.228504', 'rollout/action_std_2': '0.233461', 'rollout/explained_variance': '0.637798', 'training/entropy_coef': '0.009891', 'training/lr_0': '0.000010', 'training/lr_1': '0.000010', 'training/lr_2': '0.000030', 'training/lr_3': '0.000030', 'metrics/approx_kl': '0.003544', 'metrics/ratio_max': '1.281769', 'metrics/clip_fraction': '0.027064', 'metrics/approx_kl_0': '0.000631', 'metrics/approx_kl_1': '0.000615', 'metrics/approx_kl_2': '0.002355', 'metrics/actor_loss': '-0.003386', 'loss/critic': '1.155180', 'metrics/entropy_0': '0.923209', 'metrics/entropy_1': '0.904631', 'metrics/entropy_2': '0.912290', 'loss/entropy': '2.740130', 'metrics/log_std_0': '-0.495730', 'metrics/log_std_1': '-0.514307', 'metrics/log_std_2': '-0.506649', 'loss/total': '0.547076', 'grad_norm/cnn': '3.168220', 'grad_norm/sequence_encoder': '1.129551', 'grad_norm/actor': '2.204023', 'grad_norm/critic': '0.416830', 'metrics/grad_norm/max': '4.187025'}
2026-09-02 17:04:08 | DEBUG    | rl_lib.tracking.console_logger | Step 22042: {'episode/returns': '-24.454868', 'episode/lengths': '1000.000000', 'episode/n': '32.000000'}
2026-09-02 17:05:03 | DEBUG    | rl_lib.tracking.console_logger | Step 24575: {'rollout/returns': '-1.350547', 'rollout/advantages_mean': '-0.693305', 'rollout/advantages_std': '2.003976', 'rollout/critic_values': '-0.657242', 'rollout/old_log_probs': '-0.076467', 'rollout/action_mean_0': '0.070293', 'rollout/action_mean_1': '0.602842', 'rollout/action_mean_2': '0.374546', 'rollout/action_std_0': '0.478216', 'rollout/action_std_1': '0.229826', 'rollout/action_std_2': '0.230406', 'rollout/explained_variance': '0.653302', 'training/entropy_coef': '0.009881', 'training/lr_0': '0.000010', 'training/lr_1': '0.000010', 'training/lr_2': '0.000030', 'training/lr_3': '0.000030', 'metrics/approx_kl': '0.003274', 'metrics/ratio_max': '1.329536', 'metrics/clip_fraction': '0.026134', 'metrics/approx_kl_0': '0.001156', 'metrics/approx_kl_1': '0.000819', 'metrics/approx_kl_2': '0.001306', 'metrics/actor_loss': '-0.002938', 'loss/critic': '1.222048', 'metrics/entropy_0': '0.923760', 'metrics/entropy_1': '0.904362', 'metrics/entropy_2': '0.911257', 'loss/entropy': '2.739379', 'metrics/log_std_0': '-0.495178', 'metrics/log_std_1': '-0.514577', 'metrics/log_std_2': '-0.507681', 'loss/total': '0.580992', 'grad_norm/cnn': '2.936070', 'grad_norm/sequence_encoder': '1.078752', 'grad_norm/actor': '2.285663', 'grad_norm/critic': '0.395400', 'metrics/grad_norm/max': '4.065296'}
2026-09-02 17:05:03 | DEBUG    | rl_lib.tracking.console_logger | Step 24547: {'episode/returns': '-17.608218', 'episode/lengths': '1000.000000', 'episode/n': '40.000000'}
2026-09-02 17:05:58 | DEBUG    | rl_lib.tracking.console_logger | Step 26623: {'rollout/returns': '-1.260521', 'rollout/advantages_mean': '-0.605917', 'rollout/advantages_std': '2.096219', 'rollout/critic_values': '-0.654604', 'rollout/old_log_probs': '-0.064645', 'rollout/action_mean_0': '0.081395', 'rollout/action_mean_1': '0.606225', 'rollout/action_mean_2': '0.359828', 'rollout/action_std_0': '0.479657', 'rollout/action_std_1': '0.229479', 'rollout/action_std_2': '0.229316', 'rollout/explained_variance': '0.669399', 'training/entropy_coef': '0.009871', 'training/lr_0': '0.000010', 'training/lr_1': '0.000010', 'training/lr_2': '0.000030', 'training/lr_3': '0.000030', 'metrics/approx_kl': '0.003594', 'metrics/ratio_max': '1.332333', 'metrics/clip_fraction': '0.026649', 'metrics/approx_kl_0': '0.000620', 'metrics/approx_kl_1': '0.001234', 'metrics/approx_kl_2': '0.001717', 'metrics/actor_loss': '-0.002501', 'loss/critic': '1.283791', 'metrics/entropy_0': '0.924879', 'metrics/entropy_1': '0.904760', 'metrics/entropy_2': '0.910645', 'loss/entropy': '2.740285', 'metrics/log_std_0': '-0.494060', 'metrics/log_std_1': '-0.514178', 'metrics/log_std_2': '-0.508293', 'loss/total': '0.612319', 'grad_norm/cnn': '2.604401', 'grad_norm/sequence_encoder': '1.017312', 'grad_norm/actor': '2.272641', 'grad_norm/critic': '0.372205', 'metrics/grad_norm/max': '3.774940'}
2026-09-02 17:05:58 | DEBUG    | rl_lib.tracking.console_logger | Step 26551: {'episode/returns': '-15.080769', 'episode/lengths': '1000.000000', 'episode/n': '32.000000'}
2026-09-02 17:06:54 | DEBUG    | rl_lib.tracking.console_logger | Step 28671: {'rollout/returns': '-1.423347', 'rollout/advantages_mean': '-0.622201', 'rollout/advantages_std': '2.210321', 'rollout/critic_values': '-0.801146', 'rollout/old_log_probs': '-0.055524', 'rollout/action_mean_0': '0.105535', 'rollout/action_mean_1': '0.611007', 'rollout/action_mean_2': '0.357148', 'rollout/action_std_0': '0.478072', 'rollout/action_std_1': '0.228127', 'rollout/action_std_2': '0.228919', 'rollout/explained_variance': '0.699273', 'training/entropy_coef': '0.009861', 'training/lr_0': '0.000010', 'training/lr_1': '0.000010', 'training/lr_2': '0.000030', 'training/lr_3': '0.000030', 'metrics/approx_kl': '0.004248', 'metrics/ratio_max': '1.327064', 'metrics/clip_fraction': '0.039065', 'metrics/approx_kl_0': '0.000785', 'metrics/approx_kl_1': '0.001009', 'metrics/approx_kl_2': '0.002488', 'metrics/actor_loss': '-0.003109', 'loss/critic': '1.406740', 'metrics/entropy_0': '0.925862', 'metrics/entropy_1': '0.905595', 'metrics/entropy_2': '0.909042', 'loss/entropy': '2.740499', 'metrics/log_std_0': '-0.493076', 'metrics/log_std_1': '-0.513344', 'metrics/log_std_2': '-0.509897', 'loss/total': '0.673210', 'grad_norm/cnn': '2.134238', 'grad_norm/sequence_encoder': '0.881997', 'grad_norm/actor': '2.468148', 'grad_norm/critic': '0.303676', 'metrics/grad_norm/max': '3.518006'}
2026-09-02 17:06:54 | DEBUG    | rl_lib.tracking.console_logger | Step 28555: {'episode/returns': '-14.719128', 'episode/lengths': '1000.000000', 'episode/n': '32.000000'}
2026-09-02 17:07:50 | DEBUG    | rl_lib.tracking.console_logger | Step 30719: {'rollout/returns': '-2.051469', 'rollout/advantages_mean': '-0.832701', 'rollout/advantages_std': '2.171044', 'rollout/critic_values': '-1.218768', 'rollout/old_log_probs': '-0.057533', 'rollout/action_mean_0': '0.130369', 'rollout/action_mean_1': '0.602888', 'rollout/action_mean_2': '0.349503', 'rollout/action_std_0': '0.478420', 'rollout/action_std_1': '0.227946', 'rollout/action_std_2': '0.225038', 'rollout/explained_variance': '0.731957', 'training/entropy_coef': '0.009851', 'training/lr_0': '0.000010', 'training/lr_1': '0.000010', 'training/lr_2': '0.000030', 'training/lr_3': '0.000030', 'metrics/approx_kl': '0.003955', 'metrics/ratio_max': '1.373901', 'metrics/clip_fraction': '0.035168', 'metrics/approx_kl_0': '0.000789', 'metrics/approx_kl_1': '0.001059', 'metrics/approx_kl_2': '0.002130', 'metrics/actor_loss': '-0.003500', 'loss/critic': '1.452193', 'metrics/entropy_0': '0.926471', 'metrics/entropy_1': '0.905230', 'metrics/entropy_2': '0.907535', 'loss/entropy': '2.739236', 'metrics/log_std_0': '-0.492468', 'metrics/log_std_1': '-0.513709', 'metrics/log_std_2': '-0.511403', 'loss/total': '0.695585', 'grad_norm/cnn': '2.114946', 'grad_norm/sequence_encoder': '0.884286', 'grad_norm/actor': '2.346101', 'grad_norm/critic': '0.302941', 'metrics/grad_norm/max': '3.417144'}
2026-09-02 17:07:50 | DEBUG    | rl_lib.tracking.console_logger | Step 30559: {'episode/returns': '-23.070367', 'episode/lengths': '1000.000000', 'episode/n': '32.000000'}
